station,epoch,unit,component,group,loss_n,loss_mean,loss_median,loss_min,loss_max,grad_norm_n,grad_norm_mean,grad_norm_median,grad_norm_min,grad_norm_max,ratio_base_n,ratio_base_mean,ratio_base_median,ratio_base_min,ratio_base_max,ratio_dual_base_n,ratio_dual_base_mean,ratio_dual_base_median,ratio_dual_base_min,ratio_dual_base_max,cosine_base_n,cosine_base_mean,cosine_base_median,cosine_base_min,cosine_base_max,cosine_dual_base_n,cosine_dual_base_mean,cosine_dual_base_median,cosine_dual_base_min,cosine_dual_base_max
CBBT,5,batch,tail,temporal,16,0.041690043872222304,0.04495115019381046,0.022720225155353546,0.06880133599042892,16,0.002959146281931519,0.0029382182636833063,0.0018532592307529535,0.004732790263334259,16,0.9198389270066275,0.9850654159327812,0.4755668531099453,1.5865636045348117,16,0.45909205804634434,0.4914449632808543,0.23767838661567003,0.7907767954553587,16,-0.5387543550776164,-0.5417631035415311,-0.6307392324329973,-0.4456470892074012,16,-0.5414276898344266,-0.5449325549001782,-0.6306006280448029,-0.4505565207916199
CBBT,20,accum4,amp_true,excess,4,0.001939651159773348,0.0019316980833536945,0.0012637758627533913,0.0026314326096326113,4,0.026596709721825217,0.02174344133045189,0.018877705484270587,0.0440222507421265,4,29.770182333817715,30.0166839683175,26.30285750012125,32.74450389851461,4,13.035926123612649,13.390790001947867,10.072277282413811,15.289847208141047,4,0.9949697031367412,0.994931726619686,0.9915978704441605,0.9984174888634324,4,0.9954036915380176,0.9965382601018808,0.9901667778631544,0.9983714680851539
CBBT,20,accum4,amp_true,full,4,0.001939651159773348,0.0019316980833536945,0.0012637758627533913,0.0026314326096326113,4,0.0677302139367674,0.05816077783090978,0.04553969787295463,0.10905960221229538,4,4.983305245012424,4.701222936668461,2.8430017214739634,7.687773385238811,4,2.142000601972125,2.0435277123688405,1.3449050748120126,3.1360419083388047,4,0.4640678154121535,0.4470969388972781,0.36107144417696724,0.6010059396770907,4,0.5606595566484912,0.5500366861721593,0.4368223234262854,0.705742530823361
CBBT,20,accum4,amp_true,shared,4,0.001939651159773348,0.0019316980833536945,0.0012637758627533913,0.0026314326096326113,4,0.06227375242905267,0.053936186654400795,0.04144268714754304,0.09977994925986605,4,5.054162935135311,4.7848164417315235,2.922608195610283,7.724410661467918,4,2.1229542037067275,2.03390923979892,1.363326678547062,3.0606716566820094,4,0.5258682983315744,0.519707617133617,0.3997167997520875,0.6643411593069761,4,0.6264474745433506,0.6145734070015871,0.5128423637455302,0.7638007204246982
CBBT,20,accum4,amp_true,temporal,4,0.001939651159773348,0.0019316980833536945,0.0012637758627533913,0.0026314326096326113,4,0.00042727620917309576,0.00036681480940637626,0.00029744748708403185,0.0006780277307955986,4,4.25221160759643,4.112358993431147,2.474221930245265,6.309906513278161,4,1.7955569745305124,1.747082885782487,1.1497959528136985,2.538266173743377,4,0.663722506666988,0.6968333009783474,0.5458901805278138,0.7153332441834434,4,0.7249379611915018,0.7586730426455266,0.6005228404393514,0.7818829190356026
CBBT,20,accum4,base,excess,4,0.0014243875339161605,0.0014217801508493721,0.0013518527848646045,0.001502137049101293,4,0.000922488757743983,0.0006794602678542617,0.0006573665015171644,0.0016736679937502444,4,1.0,1.0,1.0,1.0,4,0.43593043619607885,0.44692155105183723,0.38293471659371536,0.4669439260869255,4,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,4,0.9993465358279666,0.9993847901258093,0.9989592425970131,0.9996573204632347
CBBT,20,accum4,base,full,4,0.0014243875339161605,0.0014217801508493721,0.0013518527848646045,0.001502137049101293,4,0.013766252203150389,0.014009995422716373,0.011026843398725556,0.016018174568443254,4,1.0,1.0,1.0,1.0,4,0.4379754744730216,0.4354589324702455,0.407925904054388,0.4730581288972074,4,1.0,1.0,0.9999999999999998,1.0000000000000004,4,0.9878196207410891,0.989368589806443,0.9764452942645221,0.9960960090869481
CBBT,20,accum4,base,shared,4,0.0014243875339161605,0.0014217801508493721,0.0013518527848646045,0.001502137049101293,4,0.012426910968255683,0.012703541883791039,0.010120524885601953,0.014180035219838698,4,1.0,1.0,1.0,1.0,4,0.42848738142716936,0.42561990646581976,0.39623367928244907,0.4664760334945887,4,1.0,1.0,0.9999999999999999,1.0000000000000002,4,0.9885928777787123,0.9906469778350322,0.9770500199079108,0.9960275355368741
CBBT,20,accum4,base,temporal,4,0.0014243875339161605,0.0014217801508493721,0.0013518527848646045,0.001502137049101293,4,0.00010164751186495233,0.00010360134720559794,7.916875687177555e-05,0.00012021859617683788,4,1.0,1.0,1.0,1.0,4,0.4293546357163447,0.4252207933472035,0.4022668431619412,0.4647101130090304,4,1.0,1.0,1.0,1.0000000000000002,4,0.9957600938943082,0.9959095906436062,0.9935842571116474,0.9976369371783731
CBBT,20,accum4,body,excess,4,0.001305505124037154,0.001300201314734295,0.0012126629590056837,0.0014089549076743424,4,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0,,,,,0,,,,
CBBT,20,accum4,body,full,4,0.001305505124037154,0.001300201314734295,0.0012126629590056837,0.0014089549076743424,4,0.012257735967980972,0.011956461492840726,0.009965022718406527,0.015152998167835913,4,0.8893920218288804,0.8992483537864235,0.8130835517857856,0.9459878279568891,4,0.390547799665073,0.39150306193675166,0.33167784293396946,0.44750723185281926,4,0.9661992591611168,0.9710433512349852,0.9338216268094006,0.9888887073650958,4,0.9213618525502975,0.9223743514189893,0.8672734177301517,0.9734252896330596
