station,epoch,unit,unit_id,windows,events,tails,component,group,loss,grad_norm,base_grad_norm,dual_base_grad_norm,ratio_base,ratio_dual_base,cosine_base,cosine_dual_base
Boston,50,batch,12,256,8,8,amp_true,temporal,0.0013087621191516519,0.0008362397882164247,0.00015395436778248696,0.0003101698355632426,5.431737990038052,2.6960706436777864,0.483199727572442,0.5135621543251494
Boston,50,batch,12,256,8,8,dual_base,temporal,0.001971558667719364,0.0003101698355632426,0.00015395436778248696,0.0003101698355632426,2.0146868194182272,1.0,0.9993788619703693,0.9999999999999998
Boston,50,batch,12,256,8,8,base,excess,0.0008678729645907879,0.00061226014261427,0.00061226014261427,0.00163899486167271,1.0,0.3735583051123268,1.0000000000000002,0.9996063988717065
Boston,50,batch,12,256,8,8,tail,excess,0.0010234860237687826,0.012254168043698535,0.00061226014261427,0.00163899486167271,20.01464278137534,7.476636034839238,0.9999804915716688,0.999721343903357
Boston,50,batch,12,256,8,8,body,excess,0.0008284552022814751,0.0,0.00061226014261427,0.00163899486167271,0.0,0.0,,
Boston,50,batch,12,256,8,8,excess,excess,3.537765587680042e-05,0.0005136695745163863,0.00061226014261427,0.00163899486167271,0.8389727482881459,0.3134052378859506,0.9989888660373104,0.9998533305247009
Boston,50,batch,12,256,8,8,gate,excess,0.00040895064012147486,0.0,0.00061226014261427,0.00163899486167271,0.0,0.0,,
Boston,50,batch,12,256,8,8,amp_true,excess,0.0013087621191516519,0.019781402459195192,0.00061226014261427,0.00163899486167271,32.3088195398956,12.069227867503425,0.9983641785425479,0.998417223434516
Boston,50,batch,12,256,8,8,dual_base,excess,0.001971558667719364,0.00163899486167271,0.00061226014261427,0.00163899486167271,2.676958285532712,1.0,0.9996063988717065,1.0000000000000002
Boston,50,batch,12,256,8,8,base,full,0.0008678729645907879,0.009573933362523152,0.009573933362523152,0.01927184601216782,1.0,0.49678340914920033,1.0,0.9937005136460975
Boston,50,batch,12,256,8,8,tail,full,0.0010234860237687826,0.04464465046103139,0.009573933362523152,0.01927184601216782,4.66314614594994,2.316573639745966,0.4401591499984246,0.49159990614313515
Boston,50,batch,12,256,8,8,body,full,0.0008284552022814751,0.009098110780575167,0.009573933362523152,0.01927184601216782,0.9503001990999251,0.4720933726240246,0.9812998005819125,0.9639537958479364
Boston,50,batch,12,256,8,8,excess,full,3.537765587680042e-05,0.00143768549392569,0.009573933362523152,0.01927184601216782,0.15016664932654145,0.07460029999295173,0.3456025482983032,0.3973946799188052
Boston,50,batch,12,256,8,8,gate,full,0.00040895064012147486,0.0037973186793127485,0.009573933362523152,0.01927184601216782,0.39663099120547757,0.19703969598528365,-0.18147003306769785,-0.08152065328254561
