station,epoch,unit,component,group,weight,weighted_loss_n,weighted_loss_mean,weighted_loss_median,weighted_loss_min,weighted_loss_max,weighted_grad_norm_n,weighted_grad_norm_mean,weighted_grad_norm_median,weighted_grad_norm_min,weighted_grad_norm_max,weighted_ratio_base_n,weighted_ratio_base_mean,weighted_ratio_base_median,weighted_ratio_base_min,weighted_ratio_base_max,weighted_ratio_dual_base_n,weighted_ratio_dual_base_mean,weighted_ratio_dual_base_median,weighted_ratio_dual_base_min,weighted_ratio_dual_base_max
Battery,50,accum4,tail,full,0.05,4,0.00020119865876040423,0.00018957467254949735,0.0001703468675259501,0.0002552984224166721,4,0.0021093244494794572,0.0021422719226899907,0.0008138771429422108,0.003338876809595637,4,0.0846191644665697,0.09143283700134933,0.032820348583791126,0.12279063527978902,4,0.039638803159447504,0.04173035266685017,0.01607374578257272,0.05902076152151695
Battery,50,accum4,tail,full,0.1,4,0.00040239731752080845,0.0003791493450989947,0.0003406937350519002,0.0005105968448333442,4,0.0042186488989589144,0.004284543845379981,0.0016277542858844215,0.006677753619191274,4,0.1692383289331394,0.18286567400269865,0.06564069716758225,0.24558127055957804,4,0.07927760631889501,0.08346070533370034,0.03214749156514544,0.1180415230430339
Battery,50,accum4,tail,shared,0.01,4,4.0239731752080844e-05,3.791493450989947e-05,3.4069373505190015e-05,5.1059684483334426e-05,4,0.00040465224895841294,0.0004230491756262363,0.00016092794820771363,0.0006115826963734657,4,0.018516481491099107,0.02016719285884317,0.007421410245608145,0.02631013000110194,4,0.008546644742950592,0.009031845380078573,0.0036128693918932907,0.01251001881975193
Battery,50,accum4,tail,shared,0.025,4,0.00010059932938020211,9.478733627474867e-05,8.517343376297505e-05,0.00012764921120833606,4,0.0010116306223960324,0.0010576229390655907,0.00040231987051928404,0.0015289567409336642,4,0.04629120372774777,0.05041798214710793,0.01855352561402036,0.06577532500275485,4,0.021366611857376483,0.022579613450196434,0.009032173479733228,0.03127504704937983
Battery,50,accum4,tail,shared,0.05,4,0.00020119865876040423,0.00018957467254949735,0.0001703468675259501,0.0002552984224166721,4,0.002023261244792065,0.0021152458781311815,0.0008046397410385681,0.0030579134818673284,4,0.09258240745549554,0.10083596429421586,0.03710705122804072,0.1315506500055097,4,0.042733223714752966,0.04515922690039287,0.018064346959466456,0.06255009409875965
Battery,50,accum4,tail,shared,0.1,4,0.00040239731752080845,0.0003791493450989947,0.0003406937350519002,0.0005105968448333442,4,0.00404652248958413,0.004230491756262363,0.0016092794820771362,0.006115826963734657,4,0.18516481491099107,0.20167192858843172,0.07421410245608144,0.2631013000110194,4,0.08546644742950593,0.09031845380078574,0.03612869391893291,0.1251001881975193
Battery,50,accum4,tail,temporal,0.01,4,4.0239731752080844e-05,3.791493450989947e-05,3.4069373505190015e-05,5.1059684483334426e-05,4,2.161545978942148e-06,1.8469921987892424e-06,5.518431416185686e-07,4.4003563765715384e-06,4,0.010156712382361243,0.009241408279737117,0.0027109091773390554,0.01943312379263169,4,0.004828564257964852,0.00423750842323492,0.0012973394732978764,0.009541900712091692
Battery,50,accum4,tail,temporal,0.025,4,0.00010059932938020211,9.478733627474867e-05,8.517343376297505e-05,0.00012764921120833606,4,5.40386494735537e-06,4.617480496973106e-06,1.3796078540464219e-06,1.1000890941428846e-05,4,0.025391780955903113,0.023103520699342794,0.006777272943347639,0.048582809481579226,4,0.012071410644912132,0.010593771058087302,0.003243348683244691,0.023854751780229232
Battery,50,accum4,tail,temporal,0.05,4,0.00020119865876040423,0.00018957467254949735,0.0001703468675259501,0.0002552984224166721,4,1.080772989471074e-05,9.234960993946212e-06,2.7592157080928437e-06,2.2001781882857692e-05,4,0.050783561911806226,0.04620704139868559,0.013554545886695277,0.09716561896315845,4,0.024142821289824264,0.021187542116174605,0.006486697366489382,0.047709503560458465
Battery,50,accum4,tail,temporal,0.1,4,0.00040239731752080845,0.0003791493450989947,0.0003406937350519002,0.0005105968448333442,4,2.161545978942148e-05,1.8469921987892424e-05,5.518431416185687e-06,4.4003563765715384e-05,4,0.10156712382361245,0.09241408279737118,0.027109091773390555,0.1943312379263169,4,0.04828564257964853,0.04237508423234921,0.012973394732978764,0.09541900712091693
Battery,50,batch,amp_true,excess,0.0001,16,3.176354501192691e-07,2.5817004498094323e-07,5.494296783581376e-08,9.236427024006844e-07,16,3.9700096418973414e-06,3.1030666342904653e-06,3.865051236722155e-07,1.3379230181776345e-05,16,0.006682661468665223,0.007103758956438156,0.00046027096282432107,0.014358237761221054,16,0.001884817362947108,0.0018524634315812917,0.00015055584171265137,0.003527802450937671
Battery,50,batch,amp_true,excess,0.0003,16,9.52906350357807e-07,7.745101349428295e-07,1.6482890350744126e-07,2.770928107202053e-06,16,1.1910028925692021e-05,9.309199902871395e-06,1.1595153710166461e-06,4.013769054532903e-05,16,0.020047984405995666,0.021311276869314465,0.0013808128884729629,0.043074713283663156,16,0.005654452088841324,0.005557390294743874,0.00045166752513795406,0.010583407352813011
